,iterations,learning_rate,grow_policy,depth,bagging_temperature,border_count,subsample,min_data_in_leaf,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,700.0,0.056121782,0.142091902,6.13871017,17.64895746,98.24517488,0.266805904,6.156342533,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,45.020810442259055,9821.592073412647,0.9790555807724306,0.9213496705034893,56.244189018654396,12873.257708722134,0.9726938986499143,0.8969481354949362,60.80631193511425,13985.31832558465,0.962993275410047,0.8634358001921348
1,270.0,0.09734107,1.653415655,4.855368247,4.221348724,255.0,1.0,1.861695206,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,77.65226560395143,25128.096308238026,0.9467858872801463,0.7987767116073808,95.4090471914627,31585.52173220477,0.9297495207648238,0.747154373856467,100.9915387482018,37805.9826031322,0.9073977601535634,0.6308311586514435
2,241.8640802,0.076236203,0.887399931,7.073151371,1.0,127.7213088,0.318217715,8.98332398,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,46.354538995701745,10147.952564014657,0.978508042635071,0.9187362082533134,57.90817428415341,13289.753779784598,0.9721704194610065,0.8936140379686404,62.5156705171293,14588.395327846103,0.9618762881921425,0.8575468582089055
3,700.0,0.045078329,1.995013262,8.995668528,20.0,118.7035429,1.0,4.421850178,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,39.74166080453814,8505.73895621743,0.9821097358458839,0.931886890993085,55.89346024441209,12669.77558191252,0.97347113016356,0.8985770326269326,60.72612103282848,14045.591099947656,0.9634482489792018,0.8628472470387878
4,700.0,0.17897351,1.898148326,5.476648157,13.34977945,33.32644314,0.313294045,5.428506132,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,55.96470447657131,13972.283905084547,0.9694176792618799,0.888111344399192,74.47102873838865,20487.039115277978,0.9550040762221129,0.8359989657018109,68.37838310227392,18025.410241801976,0.9522224397028238,0.8239850056629099
5,449.0003606,0.2,1.204999867,1.0,13.64458529,62.95626565,0.433140263,20.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,114.03108471211674,44222.446102076734,0.86229195064063,0.6458710633599443,92.69604858710956,28713.59359108998,0.9301617304648315,0.7701444791089951,104.50887265907997,36714.11709319038,0.8697574213943966,0.6414930353561181
6,546.0,0.01,0.086804273,10.0,1.0,100.3164688,0.786030609,1.0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,48.30900702704259,10490.527898794317,0.9773376024035384,0.9159928991485975,57.37372134361148,12668.770257260285,0.9727024849531966,0.8985850803629595,63.075216824308875,14673.87034419567,0.9606312449229171,0.8567122095481032
7,100.0,0.126547579,1.27736166,6.458447327,1.0,201.0360072,0.731602465,8.47936702,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,50.3236244639269,11442.10451495345,0.9755430770983529,0.9083727685381348,59.43548622164017,13805.389092893754,0.9710181283966415,0.8894863197466593,63.397090905928856,14994.588018384586,0.9605924917078963,0.8535804572690204
8,480.1346273,0.068308905,0.230216285,8.064049992,20.0,121.4868515,0.991317518,1.0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,40.60175943874954,8054.414274380512,0.9829963369234402,0.9355010540199198,56.532001360178576,12529.62150104677,0.9737397201476334,0.8996989816842736,60.5425638094027,13966.50618192379,0.9633648989370399,0.8636194975014064
9,300.0537236,0.154215737,0.754048582,1.0,1.0,153.9357486,0.318217715,8.98332398,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76.96520871528361,20278.847038808624,0.9534442503355829,0.837609015983347,74.4914503848197,18647.668533878594,0.9575783246941962,0.8507233324641217,79.5646222338925,21087.81874099151,0.9421111205441322,0.7940811195703392
10,700.0,0.040141286,1.297232788,7.914955551,1.0,61.02842469,1.0,3.249626407,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,37.65832441373113,7640.705432672022,0.9839124504920751,0.9388139931516594,55.15189318874939,12470.643085121204,0.9737580932251568,0.9001711104852504,60.275758839863165,13871.032619358637,0.963648476668744,0.8645517802261167
11,700.0,0.01,0.137150436,5.639429814,1.0,181.97241,1.0,4.462642625,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92.0754656612856,29946.991589762856,0.9299399132282652,0.7601874789383624,93.80085112032904,29389.049643934683,0.9288097973943905,0.7647373780307873,102.60458971609026,35886.78043561295,0.9053438608440247,0.6495718338491837
12,643.8212089,0.037016804,1.401977621,5.604647943,15.23964148,126.8202275,0.38335829,7.142034557,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,43.63770630240001,9422.863313023667,0.9800347792046259,0.9245426506384739,55.94422531297529,12640.393664190779,0.9733524111468749,0.8988122381570688,60.314638109789165,13847.330654800166,0.963690172480149,0.8647832257855559
13,100.0,0.17083574,0.944061879,6.89789994,20.0,238.9025548,0.844940367,11.98024906,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,48.554653579434856,11145.938455741043,0.9762271767095805,0.9107444367940172,59.86243498831455,14279.976517766892,0.9700574388337564,0.8856871944506048,63.830062287675766,15189.343736395565,0.9600917878303921,0.8516787015728686
14,601.5863378,0.128016167,1.117914166,8.282946266,20.0,197.1977508,0.410121765,3.954389129,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,36.18185589318058,7811.972163370392,0.9836588439520925,0.937442506258238,64.01766468669905,16458.411351631792,0.9652961341871471,0.8682485805106032,66.37388021721496,17263.029223758593,0.9548385801233745,0.8314295236391175
15,420.2877106,0.061156614,2.0,7.995491599,8.917021536,170.5718154,1.0,5.410814559,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.84754447226902,8441.536955870166,0.9822215898376976,0.9324010142069086,56.69588072440176,12833.168770906506,0.9730907813578362,0.897269051915737,61.02070674278831,14230.391596480053,0.9629165664179463,0.8610427023480264
16,700.0,0.01,0.510176693,9.281863772,14.22940672,162.8999737,0.495395003,1.0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,41.54501249524127,8966.627688217484,0.9807878900298104,0.9281961400066782,55.645552522620285,12696.212336833833,0.9728306876398536,0.8983654034536691,59.79291940851972,13857.157574609408,0.9631026834943253,0.8646872676236406
17,548.4716446,0.01,0.632839472,10.0,13.57984867,119.2310831,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,39.09313787057996,8024.409525929174,0.9827829547504092,0.9357413290521669,55.0922415453059,12082.436820578749,0.9739975695088634,0.9032787449534504,59.36606813620337,13503.969320730495,0.9638342943497485,0.8681360894630601
18,520.6951534,0.2,0.0,9.185529107,5.430170784,103.9053627,0.752204251,1.464650032,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,46.786108487372836,10242.392467660964,0.978356245041316,0.9179799429264823,58.51123387267896,13181.47977721676,0.9725835807226165,0.8944807834416594,63.77806334182329,15029.603181534498,0.9608518384798724,0.8532385402939908
19,700.0,0.01,0.0,10.0,1.0,151.8334957,1.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,50.797235857024525,12210.739117283916,0.9737213459612448,0.9022176193236444,59.17032677672917,14042.94990081809,0.9697493224590723,0.8875846189694468,63.372352069398474,15506.714766306299,0.9587908785781311,0.8485796286927992
20,621.3575966,0.102377642,2.0,10.0,3.686823562,255.0,1.0,3.641293196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,68.13535863211989,19760.295552704803,0.9558965299023049,0.8417615245520316,105.56977914290671,40042.71638392309,0.9044195737429754,0.6794535869180272,99.17348497720123,35876.13440902816,0.905047764360041,0.6496757904462264
21,590.8112795,0.098561316,0.402504163,3.957061275,16.95355052,42.88754906,0.823615112,6.255657564,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,57.33678180992182,14733.078775397886,0.9687814175006598,0.8820189749765829,65.18041862233258,16944.103100266213,0.9646205867445512,0.864360563863691,71.37738415090614,18904.595176437255,0.951007711292025,0.8153999177667016
22,100.0,0.170179421,0.55861871,2.07883975,1.0,157.5886967,0.176884216,5.281730572,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,78.54702286542123,20424.963785698543,0.9531121608959621,0.8364389276512364,76.13376568971631,19030.960594308275,0.9573818960261611,0.8476550367482281,78.83707668793524,20912.95318646524,0.9424830344769182,0.7957886512812301
23,100.0,0.190869098,1.3122869,2.993269832,6.901827828,180.7855207,0.457841432,9.701923548,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,61.371455160215525,13905.196403908267,0.9695790123528721,0.8886485744157894,65.43929110496913,14987.14887875551,0.967620868516487,0.8800262007864332,70.64866908526132,16995.374540468223,0.954351165149372,0.8340431250457805
24,552.5826031,0.014803102,1.37430192,9.500906559,20.0,239.7910533,0.659778973,2.140421386,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,39.639185836440156,8161.1774773964535,0.9826635646956876,0.9346461049411409,56.36560886762051,12677.104470655435,0.9730801489840644,0.8985183640547035,61.23347336561102,14090.307476242422,0.9627187983345191,0.8624105994055459
