,learning_rate,num_leaves,max_depth,bagging_fraction,feature_fraction,num_boost_round,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.064414737,72.01941395,33.74336216,0.766583053,0.939368132,100.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,35.81087237440582,4435.158226621051,0.990711059261326,0.9644836953840518,57.5857362614827,13109.808564829278,0.972641386460302,0.8950545194947226,62.791151591576366,14476.758132934501,0.9620373442443156,0.8586369759907801
1,0.030081562,84.86183982,53.00589332,1.0,0.357776678,666.5530044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.35355452600814,30583.46149412686,0.9260884698348174,0.755090691440096,95.9287340965893,29985.526207887535,0.9271582925169949,0.7599625165746022,101.73407880285465,33989.561685468936,0.9076300005113374,0.6680978448016777
2,0.044299417,36.38177549,55.0,0.771603087,0.88306545,321.2123397,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,37.299233236994404,4875.37329331548,0.9897646728470025,0.9609584970469542,61.27797098711392,14405.228396170818,0.9696535208267305,0.8846845391869306,68.189478963262,16969.155588661928,0.955315270999836,0.8342991485477037
3,0.12787707,27.0,16.0,0.213119962,0.402434571,100.0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,40.64336914060367,5918.3536460238165,0.9875200387354017,0.9526064144328781,59.0685269095828,13336.096146993214,0.9719631477714721,0.893243062147719,64.25839607717054,14865.952207007858,0.9608745841472234,0.8548365635826795
4,0.132530229,98.58989909,40.29885508,0.765136072,1.0,149.3110905,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,31.349901887043867,3404.468432574813,0.992939596479044,0.9727373564304997,64.69581572217953,15987.129967058358,0.9671473255567681,0.8720212405851323,71.62808218103305,18819.628920221534,0.9510808783760956,0.8162295984733283
5,0.05120863,24.21219152,42.44065014,1.0,0.412915264,572.5225218,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,49.958887211035204,8435.109868716916,0.9819507200745267,0.932452481679649,66.76439034444847,15489.388700657179,0.9670700651135243,0.8760057149663917,74.74773963031753,18521.40362123668,0.9508146501032543,0.8191417166225321
6,0.01,64.95255122,8.850816818,1.0,0.868080884,633.495955,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,36.372633333046586,4851.437437143492,0.9898084375642341,0.9611501729952767,56.431841115957766,12538.416234682438,0.973798179758649,0.8996285788601022,61.346172742188,13713.613029226137,0.9639782087660257,0.8660889551305447
7,0.01,75.12766085,62.0,0.878477671,0.696434329,612.0968868,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,35.18304897101184,4353.277374470271,0.9908625405210242,0.9651393890794301,56.1712111241395,12233.95928684839,0.9741644461186102,0.9020657907023355,62.19577357458326,13985.3186922827,0.9631112804555673,0.8634357966113921
8,0.01,52.58051727,64.0,1.0,1.0,948.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56.18712832513306,10119.660070331425,0.9780756889929131,0.9189627717201965,70.2139900973565,17150.804495429125,0.9636001768080169,0.8627058961292834,73.35047707048855,18776.858284076665,0.9495130489480774,0.8166472462925926
9,0.016673246,44.51235185,50.95400818,1.0,0.48841729,1000.0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,36.70876761831662,4658.201578141463,0.9902338769734309,0.9626975864764569,59.54131095068785,13475.746181525323,0.9716681929550585,0.8921251480375261,64.47291408623914,14902.335110388834,0.9607680199141846,0.8544812908622995
10,0.091532662,28.68997749,64.0,1.0,0.894929522,100.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,57.03190351353324,10867.408022093912,0.9763983837522998,0.9129748807197483,70.5262671421461,17430.88716160046,0.9634547188627622,0.8604638031317238,72.1126285779289,18216.822914504988,0.9511204656692039,0.8221158942224538
11,0.01,24.21913271,55.26989507,0.789459876,1.0,1000.0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,42.41168649464899,6680.077121918893,0.9858740047224792,0.9465066088294105,57.708612152294386,12903.044435478356,0.9730970387318677,0.8967096894233058,63.186381405277,14403.991695586867,0.9622007545185778,0.8593475275890996
12,0.01,37.33034325,43.2774235,0.376813474,0.559239115,1000.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,37.24696950107265,4904.210744649903,0.9897000829501093,0.9607275696135668,56.07804443125303,12254.589169625633,0.9742465785462412,0.9019006461885831,61.50046106821751,13685.209615509555,0.9639809631216575,0.866366309522895
13,0.01,40.63473005,30.65353918,0.936098456,0.686925519,996.517185,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,36.1369954055198,4632.783650097106,0.9902922965807857,0.9629011307084779,56.42493769099372,12497.909356912738,0.973885773567405,0.8999528409368738,61.62232446931474,13887.077097407362,0.9635325105323912,0.864395108689935
14,0.024065488,71.0545166,7.562730769,1.0,0.744539684,367.6826887,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,35.81131473993333,4651.801704886868,0.9902507977905015,0.9627488360230118,55.94789463903005,12461.44238547672,0.9738638978071813,0.9002447631126248,61.055726195120684,13522.416862483336,0.964471332540367,0.8679559524279745
15,0.091532662,38.98375131,58.0,0.810985339,0.504274363,100.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.27840497813861,23482.84882306683,0.9452734980431677,0.8119516893344958,84.72384034569922,24544.916207489765,0.9433350188167264,0.8035152067538731,91.10246137191943,27674.3762783217,0.924627828207672,0.7297645313716679
16,0.05120863,64.16148106,42.44065014,1.0,0.412915264,572.5225218,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74.26350804814868,17348.147292322083,0.9604943067243472,0.8610777671790395,93.55305090073776,26734.518737180646,0.939099390170288,0.785987194162564,92.4297208584431,27325.680835709496,0.9227774475595973,0.7331694816908803
17,0.057996705,36.38177549,64.0,0.188853224,0.88306545,489.5360231,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,48.63606846617502,7829.800195801807,0.9829694952550874,0.9372997411530978,85.6343980693379,27322.145479685212,0.9380810145298661,0.7812831765146376,87.37902410907736,27392.415009324854,0.9252483885126851,0.7325178340982081
18,0.01,89.4015133,33.86753572,0.771603087,0.701108334,614.5646395,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,38.35025649789038,5310.574818951194,0.9887854910125978,0.957473446646491,61.01787028145044,14206.468348587152,0.9700894415856147,0.886275635547779,69.39349853850737,17217.37840728427,0.9545657107911513,0.8318752959181072
19,0.054266509,28.07937407,64.0,0.70523307,0.887419825,230.4656286,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,38.008182050804166,5097.409256193091,0.9893079076137486,0.959180455207111,56.38724872876574,12472.27878602813,0.9739892051402559,0.9001580165169601,62.200637881678816,13798.878335322488,0.9638741020444072,0.8652563542538726
20,0.01,100.0,62.6011415,1.0,0.709114012,733.7698724,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,31.66419423675843,3407.7216635543273,0.9928969816016175,0.9727113048813665,56.70248106379302,12499.27072936133,0.9736438206970611,0.8999419429985052,61.61455485229351,13812.56349742028,0.9635761245346074,0.8651227210273977
21,0.081407436,100.0,31.84428311,0.494683889,0.962437095,331.1191716,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69.03953916488453,16119.901312139767,0.9637556630441609,0.8709134384553501,95.95525128978456,33467.1515004722,0.922734894705929,0.7320917175875095,97.10991176782524,34043.41183652679,0.9070577280048754,0.667572007447279
