,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,4.470570062,50.0,377.0653836,0.055010649,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,170.17572515093144,95548.99506260424,0.9863067311356657,0.949400205455933,195.955526101935,117918.1599852977,0.9836368387630909,0.9375732501442563,211.0667186194928,136199.61030274618,0.9761094714686225,0.9110356881359798
1,1.0,10.0,487.0442429,0.025912934,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,421.4236766600274,495319.74351510423,0.9192183696581002,0.7376939732431221,445.1661463486123,516790.3727902687,0.9151775782937819,0.7264073376479324,428.6570886519487,502699.15744425845,0.9072227167602933,0.6716416110351423
2,2.982931918,14.8520348,143.8949745,0.093826714,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,199.4261790825785,126913.12291886868,0.9828481351701371,0.9327907327499039,221.91079599921966,158122.88124931898,0.9785891157596145,0.9162885720447855,249.284542209895,190049.27935565077,0.9682324636845431,0.8758615878522268
3,2.482053969,31.89643176,1024.0,0.05657239,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,326.2428828282165,363063.1843523941,0.9450455250707473,0.8077329591723164,319.75403078646605,335143.4554779678,0.9477124909356257,0.8225725650440843,364.9677858655093,427483.7604662741,0.9262724112455688,0.7207716050112745
4,2.804706321,13.34827936,207.3676342,0.084275101,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,203.75169544266456,133790.24749444678,0.9807526993064862,0.9291488201337617,188.3848405922501,123766.39747609672,0.9831953393265375,0.9344771497727731,249.63755366773387,176155.08088995575,0.9689969975864525,0.884937148367085
5,5.057615159,42.25792108,730.2379036,0.076870599,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,407.48318976532204,466627.76547842746,0.9280445195134428,0.7528883579958607,426.00596091621316,490029.2596655557,0.9234887662923088,0.7405748697321,429.39559221562234,520599.9386560399,0.9094507348683111,0.6599489881356009
6,1.0,50.0,487.0442429,0.061958817,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,315.37733584534345,301221.981976644,0.9550687444384057,0.8404821485543792,338.8329168318674,336862.0401559523,0.9527566404573915,0.8216627335489878,362.56691562591607,381244.28897384,0.9340349515897786,0.7509747954105457
7,3.384168328,16.18847021,1.0,0.018103692,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,181.60744671592997,106386.10635823662,0.986347937739742,0.9436612062686479,186.58539157967198,111938.76286874143,0.9848161243022905,0.9407387873959396,212.90423138663397,150468.76065892138,0.9762198653388651,0.9017152125523888
8,3.410181452,45.56628134,1.0,0.018103692,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,178.33354061498687,103391.81493582028,0.9857453425446275,0.9452468904580008,206.4446291916066,141355.55019351337,0.9807607014199161,0.9251653216624842,215.28848357496204,151747.7913734105,0.974524776007707,0.9008797616497427
9,2.008251508,45.72711408,923.6424192,0.060444715,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,191.29131196263864,118857.37937745085,0.9832689418931662,0.9370568055414426,216.1429695215779,139715.78486836568,0.9807966806167413,0.9260334256066763,231.6281832590752,162472.18729688306,0.9716978176380722,0.8938746865150321
10,1.0,33.0,487.0442429,0.048781732,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,261.7080068180058,191513.13571100472,0.972607809597265,0.8985805626410034,277.73229426219547,203960.21796271513,0.9711200366087449,0.892021945484318,293.35652886444706,237396.74559484312,0.9581852862290118,0.8449346656450952
11,6.272967527,43.2191053,603.2296032,0.027847043,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,169.61896224331534,98682.6426056887,0.986377484909657,0.9477407225723118,195.54065767292354,125183.51117484186,0.9829235878277308,0.9337269192535745,214.8842397078066,143799.53977369808,0.9755239221704396,0.9060714852715559
12,4.913457148,33.50111823,256.9817859,0.080965338,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,169.19402243844752,90189.74290763406,0.9875309425193485,0.9522382997527244,195.32440488773517,119534.83224661023,0.9836569324266881,0.9367173718396062,215.19668245251574,144301.30361215648,0.9753759740398622,0.9057437378242066
13,1.0,33.0,549.78638,0.082546249,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,220.19259116602117,149831.61150809162,0.9788513277998652,0.9206538095607547,242.95173991548512,163574.61959374417,0.9775077582847411,0.9134023812668016,263.684371103466,201972.35671274777,0.9647585425479096,0.8680735452137948
14,2.858390332,31.0,1024.0,0.054448449,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,185.90750836465435,115555.48928861148,0.9839305128634361,0.9388053844772325,195.35396782836463,122984.52266473709,0.983181327757138,0.9348910801060937,230.92653593458536,161746.17368117836,0.9722772346976502,0.8943489118199468
15,2.0,29.0,515.0,0.04498543,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,221.11072832537596,174876.58782531304,0.9757364141314467,0.9073907641966239,251.46972102939637,202872.65624425575,0.9717325936102829,0.892597708737064,263.7498780013987,227767.765567332,0.9615970319892038,0.8512242253596625
16,3.429744047,50.0,723.2260691,0.074467991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,433.5633437854751,505089.93764469994,0.9163452948332104,0.732519980410552,407.3781080447394,525036.4742630884,0.9171899580719094,0.7220417902717439,435.6582810855267,522063.61805814586,0.9005394077878152,0.6589929264368305
17,5.920888427,41.3739126,621.1844789,0.015783763,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,172.27920428333732,104296.68332064146,0.9857898726980068,0.9447677001291923,201.8463337919851,127111.11049476595,0.9828954559332658,0.932706433854362,218.13192257710134,149421.11268055975,0.9749785451323417,0.9023995264154278
18,2.777297734,25.73775663,197.5011649,0.052712506,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,188.04049201274918,123341.85206817358,0.9831871696642914,0.9346819674111161,200.51672391361475,124075.63518195975,0.9832735208203058,0.9343134370341052,225.1459552556195,162399.93813529794,0.973072419385223,0.8939218789917865
19,5.137170491,48.97265434,512.8133236,0.089494341,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,249.3393698369607,235816.86324746776,0.9643810091812428,0.8751186778832145,247.96586629447643,239922.34190985077,0.9674681853499718,0.8729833299207017,288.01407735258755,291942.99915151607,0.946722018199026,0.8093055628771564
