,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,80.65727238,16.9525063,18.33837777,4.03778463,0.719431594,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,35.18951667443929,5717.521341243964,0.9879068159489528,0.954214659494006,55.40208607868316,12240.98448618405,0.9743386379400922,0.9020095531977007,60.09070182558622,13608.723989275753,0.9642155834172638,0.8671131783534967
1,1.0,5.644437126,2.0,14.78610308,0.428363228,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,220.56882783314813,92001.99098196345,0.6446371464052887,0.26325723457254213,228.6433326445762,96099.86806790583,0.6519973811455371,0.23070983218346686,218.02399574172227,84402.3207733248,0.6279818360827469,0.17582602483565535
2,156.6105572,18.50414134,2.046897989,16.76378199,0.677382964,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,46.52084334832948,9485.11975472066,0.9794935638643755,0.9240441072642277,59.2299313032895,13694.64561057823,0.970484676923533,0.8903728336806316,64.59313812144613,15367.998373455834,0.9590668442996325,0.8499341701303869
3,500.0,5.653886921,20.0,14.17757817,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.67849881508091,15789.282282478349,0.9649638316190184,0.8735610026614709,68.71485313975876,16062.12157290558,0.9653369297086677,0.8714209244118959,72.16114086838179,18143.384946532547,0.9512926235854382,0.8228330032004686
4,151.6657023,13.32171884,4.479483254,3.727797197,0.634605849,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,31.43834064217354,4583.365209863834,0.9903598583470622,0.9632968686477548,55.48465693909714,12245.984265308833,0.9741975919641425,0.9019695294078738,59.7541433072847,13496.880788134145,0.9644515194340331,0.8682053077503593
5,424.5878985,6.0,18.53300838,5.279821366,0.28477548,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71.59137893759832,17121.8864614467,0.960797971235537,0.8628896413403251,75.6212397891609,18402.64693609716,0.9582302079044416,0.8526847576967012,81.18386741045929,20420.12441604742,0.9431155204884153,0.8006010384652444
6,370.8067344,8.682264928,6.984294283,4.964952634,0.291394463,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.72596400965133,11428.893826021724,0.9746885035372895,0.9084785584171675,62.465729872236096,14051.107186799052,0.9693168304431935,0.8875193189848851,70.49377064590401,16696.59204155122,0.9546456375867466,0.8369606841553611
7,410.5572733,14.54969226,14.10095402,7.25095079,0.6046564,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,35.060009624446195,5698.5135923687485,0.9879226263768687,0.9543668716507366,55.3229555207205,12200.223295986389,0.9741578464147602,0.9023358510738373,59.88356773400389,13550.643082010696,0.9641929075939643,0.8676803283060478
8,307.5027104,9.154826095,19.0,13.5520157,0.85014579,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,45.632986177871274,8934.769592148723,0.9808198446855529,0.9284512564617509,57.59534775720687,13100.535964620887,0.972156049086912,0.8951287476941346,62.919887568546415,14666.930498383048,0.9611426154257361,0.856779975934833
9,500.0,12.52348436,2.046897989,5.174240199,0.867774444,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,35.19501770909536,5609.1325079274975,0.9881371317244787,0.9550826264580544,57.7910496111889,13089.479340407814,0.9724422797154877,0.8952172572047861,63.0958559905036,14706.68318038969,0.9608406709149645,0.8563917979125621
